stdio    D         file_stdio.c:105  file_stdio_fopen                 [   0.00000] opening E:\Visual Studio 2015\Projects\Sudok\Sudoku\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.33277] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33281] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33285] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33288] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33292] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33295] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33300] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33303] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33307] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33310] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33314] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33318] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33322] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33325] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33329] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33333] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33337] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33340] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33344] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33348] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33352] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33355] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33359] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33362] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33366] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33370] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33374] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33378] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33382] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33385] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33389] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33392] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33397] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33400] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33404] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33407] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33411] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33415] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33419] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33422] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33426] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33430] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33434] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33437] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33445] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33448] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33452] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33455] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33459] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33463] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33467] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.33470] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33474] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.33477] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33481] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.33484] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33488] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.33492] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33496] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.33499] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33503] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.33506] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33510] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.33514] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33518] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33521] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33525] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33533] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33538] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.33541] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33545] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.33548] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33552] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.33555] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33560] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.33563] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33567] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.33570] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33574] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.33577] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33581] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.33584] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33589] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33592] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33596] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33599] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33603] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.33606] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33610] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.33614] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33618] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.33621] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33625] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.33628] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33633] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.33636] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33640] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.33643] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33647] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.33650] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33654] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33657] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33662] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33665] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33669] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.33672] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33676] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.33679] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33683] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.33686] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33691] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.33694] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33698] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.33701] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33705] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.33708] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33712] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.33715] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33719] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33723] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33727] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33730] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33734] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.33738] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33742] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.33745] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33749] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.33752] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33756] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.33759] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33763] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.33766] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33771] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.33774] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33778] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.33781] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33785] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33788] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33792] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33795] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33800] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.33803] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33807] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.33810] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33814] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.33817] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33821] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.33824] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33829] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.33832] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33837] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.33840] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33844] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.33847] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33851] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33855] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33859] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33862] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33866] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.33869] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33873] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.33876] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33880] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.33884] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33888] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.33891] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33895] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.33898] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33902] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.33905] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33909] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.33913] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33917] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33920] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.33924] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.33927] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33931] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.33934] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33938] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.33941] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33946] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.33949] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33953] Score is : 587
display  D   display_settings.c:212  debug_display_settings           [   0.33956] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33960] Score is : 586
display  D   display_settings.c:212  debug_display_settings           [   0.33963] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33967] Score is : 585
display  D   display_settings.c:212  debug_display_settings           [   0.33971] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.33975] Score is : 584
display  D   display_settings.c:212  debug_display_settings           [   0.33978] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33982] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33985] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.33989] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.33993] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.33997] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34000] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34004] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34007] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34011] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34015] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34019] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34022] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34026] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34030] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34034] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34038] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34042] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34045] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.34049] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34053] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.34057] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34060] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34064] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34067] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34071] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34075] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34079] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34082] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34087] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34090] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34094] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34097] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34101] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34105] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34109] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34112] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.34116] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34120] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.34124] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34127] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34133] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34136] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34140] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34144] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34148] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34151] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34155] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34159] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34163] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34166] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34170] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34173] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34178] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34181] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.34185] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34188] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.34192] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34200] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34205] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34208] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34212] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34215] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34219] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34223] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.34227] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.34230] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
